价格（万）,小区,房屋户型,房屋单价（元/m²）,所在位置,建筑面积（平方米）,参考首付（万）,建造年代（年）,房屋朝向,参考月供,房屋类型,所在楼层,装修程度,配套电梯,产权性质,是否一手房源
79.6万,加州蓝湾,4室2厅2卫,6003,东兴区－新六中－临江路548号,132.6,23.88,2015,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
76.6万,加州蓝湾,4室2厅2卫,5805,东兴区－新六中－临江路548号,132,22.99,2010,南北,,普通住宅,低层(共32层),精装修,有,商品房,否
62.8万,万达中央华城,2室2厅1卫,7850,东兴区－东兴周边－兰桂大道442号,80,18.84,2015,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
50万,人民医院家属院,3室2厅1卫,5056,隆昌市－隆昌城区－隆泸大道254号,98.9,15.00,2000,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
78.8万,御都花园,3室2厅2卫,7577,资中县－资中城区－春岚北路,104,23.64,2015,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
39.8万,农业局宿舍,3室2厅1卫,3685,资中县－资中城区－花圃街202号,108,11.94,2000,南北,,普通住宅,低层(共8层),精装修,无,商品房,否
40.8万,农业局宿舍,3室2厅1卫,3778,资中县－资中城区－花圃街202号,108,12.24,2010,南北,,普通住宅,低层(共8层),精装修,无,商品房,否
73.8万,中铁城市中心,3室2厅2卫,8208,"资中县－资中城区－资州大道,近春岚北路",89.9,22.14,2015,南北,,普通住宅,中层(共30层),精装修,有,商品房,否
76.8万,凤凰城,3室2厅2卫,6919,"资中县－资中城区－321国道,近资州大道",111,23.04,2013,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
61.8万,金山晶座,3室2厅1卫,7023,资中县－资中城区－滨江西路236号,88,18.54,2015,南北,,普通住宅,高层(共31层),精装修,有,商品房,否
69.8万,船锦城南1号,3室2厅2卫,7843,资中县－资中城区－资州大道南二段36号,89,20.94,2018,南北,,普通住宅,中层(共30层),精装修,有,商品房,否
89.8万,翡翠国际社区,3室2厅2卫,8635,东兴区－东兴－汉安大道西段927号,104,26.94,2015,南北,,普通住宅,中层(共32层),精装修,有,商品房,否
